class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,8.43,x,s,n,t,p,,n,6.47,17.04,,,n,,w,t,p,,d,a
e,8.91,s,,n,f,,,w,4.03,19.98,,,n,,,f,f,,d,a
p,1.09,b,t,y,f,,c,g,3.26,2.36,,,n,,,t,f,,m,u
e,2.92,f,d,p,t,d,c,p,4.48,5.27,,,n,,,f,f,,d,a
p,9.41,s,t,p,t,d,c,p,7.43,15.0,,,p,,,t,f,,d,a
p,3.17,x,d,w,f,d,d,w,3.05,2.46,,h,w,,,f,f,,g,a
e,7.8,x,t,y,t,x,c,y,8.23,18.72,,,w,,,f,f,,d,u
p,10.12,x,h,g,f,s,,y,6.37,16.47,,i,n,,,f,f,,d,a
e,5.63,x,y,n,f,e,c,p,5.55,9.07,,y,n,,,f,f,,d,u
e,7.32,x,t,y,t,x,c,y,8.35,17.09,,,w,,,f,f,,d,u
e,10.63,x,t,n,t,p,,y,8.7,20.99,,,n,,,f,f,,d,a
e,9.06,x,h,n,t,p,,y,7.33,16.54,,,n,,w,t,p,,d,a
p,3.14,x,k,n,f,s,,p,4.19,3.15,,,n,,,f,f,p,g,a
p,8.96,s,,o,t,d,,o,5.32,14.08,,,w,,,t,f,,d,a
e,13.43,s,,w,t,d,c,w,6.42,25.97,,,w,,,f,f,,d,a
p,4.59,x,h,n,f,a,c,n,4.45,6.09,,y,n,,,t,z,,d,w
p,4.3,f,k,w,f,s,,p,4.41,3.04,,,n,,,f,f,p,g,a
p,3.01,o,,g,f,f,f,f,3.89,15.11,,g,g,,,f,f,,d,u
p,2.6,x,g,n,f,a,,p,7.16,2.53,,,w,,,f,f,,d,u
p,1.28,b,h,n,f,a,,n,3.67,1.36,,t,n,,,f,f,,g,s
e,6.53,f,s,n,f,s,c,w,6.58,9.12,b,i,n,,,f,f,,m,a
p,3.85,b,y,r,f,s,c,n,6.54,8.37,,y,w,,,t,e,u,g,u
p,2.9,f,t,p,f,a,,y,5.05,5.83,,t,y,,,f,f,,d,u
p,6.88,f,,r,f,x,c,y,5.82,10.32,,,w,,,f,f,,d,u
p,7.79,x,w,p,f,s,c,p,4.83,10.35,,,p,,,f,f,,d,a
p,8.36,f,y,y,f,s,c,y,5.8,12.26,,y,y,,,f,f,,d,a
p,5.34,x,s,o,f,e,,y,7.19,6.95,,,k,,,f,f,,g,a
e,5.41,c,,n,f,f,f,f,5.81,20.39,,,n,,,f,f,,d,s
e,8.01,f,s,o,f,d,d,b,5.74,12.9,,,w,,,f,f,,d,w
e,1.97,f,y,n,f,a,d,p,5.65,3.59,,i,n,,,f,f,,h,u
p,5.99,f,y,u,f,s,c,y,6.27,14.25,,y,y,,,f,f,,d,a
p,4.62,x,s,y,f,,c,y,9.37,8.55,,,y,u,w,t,z,k,d,u
p,2.29,f,i,k,f,a,,w,4.17,2.41,,,w,,,f,f,p,g,u
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.22,x,,w,f,,c,r,3.18,11.36,,,y,,,f,f,,d,a
e,3.57,f,t,n,f,d,,o,5.63,7.73,,t,w,,,f,f,,d,a
e,11.19,f,,g,f,d,c,w,2.34,16.54,,,w,,,f,f,,d,a
e,6.04,x,d,n,t,p,,y,7.56,16.2,,,y,,,f,f,,d,a
